address,area,city,guest_recommendation,hotel_description,hotel_facilities,latitude,locality,longitude,property_id,property_name,property_type,province,room_count,room_type,site_review_count,site_review_rating,state,uniq_id
"15th Mile, N.H.21,Manali, District Kullu,Himachal Pradesh",Others,Manali,85,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Parking Facilities Available|Gardens|Dance Performances (on demand)|Catering|Multi Lingual Staff|Wake-up Call / Service|Suitable For Children|Kitchen available (home cook food on request)|Open Air Restaurant / Dining |Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Car Rental|Taxi Services|Food Facility|Internet Access Free|Children's Park|Postal / Parcel Services| Cook Services|Air / Rail Booking|Courier Service|Guide / Sightseeing Service|Internet / Fax (Reception area only)|RO Water Purification System|Parking Facility|Internet Access|Restaurant|Room Service|Fire Exit Signs|Full Time Operation for All 7 Days|Porter Services Available|Security at All Hotel Entrances|Suites,32.1393865,Others,77.1546599,HTLGBO1000016238,Baragarh Regency,Resort,Manali,17,Deluxe Room,87,4,Himachal Pradesh,2c8db027d43a9452a43e88eb30d9f983
"A-585, Sushant Lok-1 ,Near Iffco Chowk Metro Station, Gurgaon",Sushant Lok,Gurgaon,87,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 1. All guests requested to carry Valid ID proof for Check Inn. 2. Couple Guests with Local ID's are not allowed to check inn. 3. Cancellation and prepayment policies vary according to room type.,Airport Transfer Available / Surcharge|Banquet Facilities|Business Center |Currency Exchange|Doctor on Call|Health Club / Gym Facility Available|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Locker Facility|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Power Backup,28.4720966,Sushant Lok,77.0725457,HTLGBO1000015822,Asian Suites A- 585,Guest House,Gurgaon,18,Deluxe Room With Free WIFI,8,4.5,Haryana,e98f69f889c0235e6dc480e7df6de0de
"Cobra Vaddo,Calungate Baga Road, Bardez, Calangute, Goa",Calangute Area,Goa,50,"The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Resort is undergoing minor external repair/maintenance, inconvenience regretted Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.",Swimming Pool|Bar / Lounge |Laundry Service Available|Multi Cuisine Restaurant,15.54839798,Calangute Area,73.75763376,HTLGBO1000004551,Bevvan Resort,Resort,Goa,15,Standard Room,2,2.5,Goa,9b59d00eaffc273d83000ed7dcda0e83
Simsa,Village Simsa,Manali,100,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Doctor on Call|Dry Cleaning|Laundry Service Available|Parking Facilities Available|Local Tour / Travel Desk|Car Rental,32.2236026,Village Simsa,77.1858995,HTLGBO1000007993,Apple Inn Cottage,Cottage,Manali,24,Deluxe Room,1,5,Himachal Pradesh,df0971f9c5501af112485ee28b468ce5
"8180 Street No.-6,Arakashan Road,Paharganj",Paharganj,Delhi,63,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Unmarried couples are not allowed for check in. Guests with local Delhi NCR ID will not be allowed for check-in.,Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Multi Cuisine Restaurant |Local Tour / Travel Desk|Medical Assistance Available|Power Backup,28.6467775,Paharganj,77.2127353,HTLGBO1000008281,Anmol Hotel Pvt.Ltd,Hotel,Delhi,20,Standard Room Non AC,121,2.8,Delhi,0c3514344c9cda8718f558e84bdb44ef
"Baga Beach, Calangute, Goa",Baga Area,Goa,68,"The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Mandatory  Gala Dinner on 31st Dec at Rs. 1500/- per person. Children below 10 years @ Rs. 750 Gala dinner charges directly payable at the hotel No check out allowed on 25 Dec, 31st Dec  and 1 Jan Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.",Airport Transfer Available / Surcharge|Bar / Lounge |Internet Access - Surcharge|Laundry Service Available|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Locker Facility|24 Hour Front Desk|Doorman|Power Backup|Newspapers In Lobby|Family Room|Room Service (24 Hours),15.56092347,Baga Area,73.74975872,HTLGBO1000002591,Baia Do Sol (A Boutique Beach Resort),Resort,Goa,15,Semi Deluxe,16,3.9,Goa,9250fc9e71eb1b99830b039492310c60
"2638-2642 Gurudwara Road,Karol Bagh",Karol Bagh Area,Delhi,76,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,Banquet Facilities|Barbecue Area|Business Center |Concierge|Currency Exchange|Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Secretarial Services|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Doorman|Medical Assistance Available|Air-Conditioning - Central|Welcome Drinks|Power Backup|Audio - Visual Equipment|Multi Lingual Staff|Wake-up Call / Service|Suitable For Children|Separate Sitting Area|Coffee Shop / Cafe|Conference Facility |ATM / Banking|Veranda|Open Air Restaurant / Dining |Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Car Rental|Express Laundry|Water Dispenser Available|Taxi Services|Board Room|Rooftop Garden|Food Facility| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Family Room|Room Service (24 Hours)|STD / ISD|Baggage Room|Adjoining Rooms|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Internet Access|Restaurant|Room Service|CCTV|Full Time Operation for All 7 Days|Paid Transfers|Pest Control Facility|Public Restrooms|Stamps and Mailing Facility,28.65058813,Karol Bagh Area,77.194692,HTLGBO1000000104,BB Palace-A Boutique Hotel,Hotel,Delhi,24,Club Room,550,4,Delhi,04e102bdd434eaeec45f095aac031106
"85, gomes defence, III rd Avenue, vaishali nagar, Jaipur, Rajasthan",Others,Jaipur,0,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly  Hotel may charge gala dinner supplement on Christmas/New Years eve or other festive periods. Which needs to be paid directly at the hotel.As per the govt. guidelines valid govt. issued id proofs are required to be presented at the Time of C/in.,Doctor on Call|Lobby|Front Desk|Local Tour / Travel Desk,26.9047751,Others,75.7488641,HTLGBO1000061958,Art Inn Homestay,Homestay,Jaipur,2,Standared Room,1,3,Rajasthan,059fa03383171456eb56f4503d499f6f
"Ashirwad Enclave, Lakhimi Path, Jonali, R.G.Baruah Road,",Rg Baruah Road,Guwahati,90,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We will require ID proof of all guest including spouses and fiances. Checkout is 12 noon which can be flexible depending on guest booking for that particular day.,Business Center |Doctor on Call|Dry Cleaning|Laundry Service Available|Parking Facilities Available|Welcome Drinks|Power Backup|Gardens|Conference Facility |Kitchen available (home cook food on request)|Car Rental|Board Room|Internet Access Free|Newspapers In Lobby|Children's Park| Cook Services|Parking Facility|Room Service,26.16618281,Rg Baruah Road,91.77741357,HTLGBO1000078940,Ashirwad Homestay,Hotel,Guwahati,4,Deluxe Ac Suite with Kitchentte,21,4.3,Assam,0e82d18692933c36f3be2928b60ab191
"Plot No:2,Elcot Avenue,Rajiv Gandhi Road,(OMR),Near Sozhanganallur Signal, before aavin milk factory",Thuraipakkam,Chennai,67,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Most hotels do not allow unmarried / unrelated couples to check-in. This is at full discretion of the hotel management. No refund would be applicable in case the hotel denies check-in under such circumstances .,Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Locker Facility|Power Backup|Internet Access Free|Room Service (24 Hours)|Outdoor Parking - Secured,12.8944628,Thuraipakkam,80.2273584,HTLGBO1000016892,ARAVINDAR RESIDENCY,Hotel,Chennai,22,Deluxe Room,28,3.6,Tamil Nadu,6c400590e2262416abddeccb148f439f
